LaunchHome, 访问首页
CustomerService, 联系客服
EvaluationDetail, 访问测评详情页
SearchByKeyword, 搜索
AuthPhoneSuccess, 授权手机号成功
ClickStartReplying, 点击开始作答
SubmitAnswer, 点击提交作答
GetInReport, 进入报告详情页
GenerateInvite, 生成测评邀请函
GetInSearchByHome, 首页点击搜索
GetInBannerByHome, 首页点击Banner
getInNavigationByHome, 首页点击导航
SearchGetInTypeByHome, 搜索页点击分类搜索
SearchGetInShowcaseEvaluation, 搜索页点击最新上架里的测评
SearchGetInHotEvaluation, 搜索页点击热门测评里的测评
SearchGetInShowcaseMore, 搜索页点击最新上架更多
SearchGetInHotMore, 搜索页点击热门测评更多
GetInReplyGuide, 访问作答准备页
AgreeGolden, 点击同意承诺书
AuthUserInfoSuccess, 授权头像成功
ClickFreeEnjoy, 点击免费体验
ClickSelfOffer, 点击自己测
ClickShareOffer, 点击测别人
QYAdmainOpen, 企业微信-管理员打开
QYMemberOpen, 企业微信-非管理员打开
SendCustomerServiceMessage, 聊天界面发送消息
GetInCustomerService, 进入客服聊天界面
AuthPhoneCount, 弹出授权手机弹窗
